Date,Adj Close,Close,High,Low,Open,Volume
1999-01-22,0.037615,0.041016,0.048828,0.038802,0.043750,2714688000
1999-01-25,0.041556,0.045313,0.045833,0.041016,0.044271,510480000
1999-01-26,0.038331,0.041797,0.046745,0.041146,0.045833,343200000
1999-01-27,0.038212,0.041667,0.042969,0.039583,0.041927,244368000
1999-01-28,0.038092,0.041536,0.041927,0.041276,0.041667,227520000
1999-01-29,0.036301,0.039583,0.041667,0.039583,0.041536,244032000
1999-02-01,0.037018,0.040365,0.040625,0.039583,0.039583,154704000
1999-02-02,0.034152,0.037240,0.040625,0.036068,0.039583,264096000
1999-02-03,0.034869,0.038021,0.038542,0.036458,0.036719,75120000
1999-02-04,0.036779,0.040104,0.041146,0.038021,0.038542,181920000
1999-02-05,0.037854,0.041276,0.041667,0.039714,0.040755,136848000
1999-02-08,0.036540,0.039844,0.041667,0.039844,0.041536,154080000
1999-02-09,0.035107,0.038281,0.040885,0.037760,0.040625,86976000
1999-02-10,0.034749,0.037891,0.039323,0.037240,0.038281,148224000
1999-02-11,0.037734,0.041146,0.042708,0.038021,0.038021,132240000
1999-02-12,0.039884,0.043490,0.043750,0.041667,0.041667,109728000
1999-02-16,0.040122,0.043750,0.046094,0.039323,0.044271,211008000
1999-02-17,0.037973,0.041406,0.043229,0.040625,0.042708,67728000
1999-02-18,0.038570,0.042057,0.043229,0.040885,0.042708,70704000
1999-02-19,0.039884,0.043490,0.044271,0.041146,0.041667,75360000
1999-02-22,0.040122,0.043750,0.044792,0.041406,0.044271,205248000
1999-02-23,0.042033,0.045833,0.046745,0.042188,0.044792,138096000
1999-02-24,0.045376,0.049479,0.054688,0.048307,0.052604,612768000
1999-02-25,0.043944,0.047917,0.053125,0.047135,0.051563,149136000
1999-02-26,0.041914,0.045703,0.050000,0.045313,0.048438,172608000
2010-01-04,0.428000,0.462500,0.465000,0.450000,0.462500,80020000
2015-01-02,0.485000,0.501250,0.507500,0.495000,0.502500,112000000
2020-01-02,1.485000,1.498000,1.512000,1.480000,1.487000,240000000
2021-01-04,13.12500,13.24500,13.50000,13.00000,13.35000,180000000
2021-07-19,18.75000,18.90000,19.20000,18.50000,18.80000,220000000
2022-01-03,30.12000,30.31000,31.00000,29.75000,29.80000,195000000
2022-10-14,11.20000,11.23000,11.80000,11.10000,11.75000,250000000
2023-01-03,14.30000,14.31000,14.70000,14.10000,14.50000,160000000
2023-05-25,37.80000,37.98000,39.50000,36.60000,38.50000,450000000
2023-12-29,49.50000,49.52000,50.00000,49.10000,49.80000,120000000
2024-01-02,48.10000,48.16000,49.20000,47.80000,49.00000,140000000
2024-03-08,97.50000,97.52000,97.40000,87.50000,95.10000,380000000
2024-06-07,120.8000,120.880,125.500,120.000,122.500,350000000
2024-06-18,135.5000,135.580,136.000,133.000,134.500,290000000
2024-11-20,145.8000,145.890,149.200,143.500,147.000,260000000
2025-01-15,138.2000,138.250,141.000,136.500,140.000,190000000
2025-02-26,131.5000,131.550,134.000,129.800,133.000,210000000
